Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
K061 (STOCKING WAVE-CAP (2 PC) : BLACK (DZ/60 DZ)),865.00,"3,049.50",0.0%,3.53,"1,513.86",1.75,"1,535.64",50.36%
K062 (STOCKING WAVE-CAP (2 PC) : WHITE (DZ/60 DZ)),27.00,96.00,0.0%,3.56,47.25,1.75,48.75,50.78%
K063 (STOCKING WAVE-CAP (2 PC) : RED (DZ/60 DZ)),12.00,42.00,0.0%,3.50,21.00,1.75,21.00,50.0%
K064 (STOCKING WAVE-CAP (2 PC) : NAVY (DZ/60 DZ)),14.00,50.50,0.0%,3.61,24.50,1.75,26.00,51.49%
K065 (STOCKING WAVE-CAP (2 PC) : ROYAL (DZ/60 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K066 (STOCKING WAVE-CAP (2 PC) : SKY BL (DZ/60 DZ)),7.00,24.50,0.0%,3.50,12.25,1.75,12.25,50.0%
K067 (STOCKING WAVE-CAP (2 PC) : GRAY (DZ/60 DZ)),6.00,21.00,0.0%,3.50,10.46,1.74,10.54,50.19%
K068 (STOCKING WAVE-CAP (2 PC) : BROWN (DZ/60 DZ)),7.00,24.50,0.0%,3.50,12.24,1.75,12.26,50.04%
K070 (SPANDEX DOME-CAP : ASSORTED (DZ/48 DZ)),137.00,"1,254.00",0.0%,9.15,534.30,3.90,719.70,57.39%
K071 (SPANDEX DOME-CAP : BLACK (DZ/48 DZ)),410.00,"3,702.00",0.0%,9.03,"1,620.89",3.95,"2,081.11",56.22%
K072 (SPANDEX DOME-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K075 (SPANDEX SKULL-CAP : ASSORTED (DZ/48 DZ)),11.00,102.50,0.0%,9.32,35.38,3.22,67.12,65.48%
K076 (SPANDEX SKULL-CAP : BLACK (DZ/48 DZ)),141.00,"1,206.00",0.0%,8.55,446.95,3.17,759.05,62.94%
K077 (SPANDEX SKULL-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K080 (TIE-DOWN WAVE-CAP : ASSORT (DZ/48 DZ)),6.00,21.00,0.0%,3.50,0.00,0.00,21.00,100.0%
K081 (TIE-DOWN WAVE-CAP : BLACK (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K082 (TIE-DOWN WAVE-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K083 (DREADLOCK WAVE CAP : ASSORT (DZ/40DZ)),141.00,"1,238.50",0.0%,8.78,474.59,3.37,763.91,61.68%
K084 (DREADLOCK WAVE CAP : BLACK (DZ/40DZ)),639.00,"5,509.00",0.0%,8.62,"2,172.94",3.40,"3,336.06",60.56%
K085 (DREADLOCK WAVE CAP (JUMBO) : ASSORT (DZ/24DZ)),94.00,"1,076.00",0.0%,11.45,438.05,4.66,637.95,59.29%
K086 (DREADLOCK WAVE CAP (JUMBO) : BLACK (DZ/24DZ)),392.00,"4,444.00",0.0%,11.34,"1,826.98",4.66,"2,617.02",58.89%
K090 (PLAY MAKER DU-RAG : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K091 (PLAY MAKER DU-RAG : BLACK (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K092 (PLAY MAKER DU-RAG : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K096 (PLAY MAKER DU-RAG(TWO) : ASSORT (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K2000 (VELVET DURAG : ASST (DZ / 24DZ)),190.00,"4,342.50",0.0%,22.86,"1,995.00",10.50,"2,347.50",54.06%
K2001 (VELVET DURAG : BK (DZ / 24DZ)),244.00,"5,617.50",0.0%,23.02,"2,562.00",10.50,"3,055.50",54.39%
K2002 (VELVET DURAG : WHT (DZ / 24DZ)),8.00,180.00,0.0%,22.50,84.00,10.50,96.00,53.33%
K2003 (VELVET DURAG : RED (DZ / 24DZ)),30.00,682.50,0.0%,22.75,315.00,10.50,367.50,53.85%
K2004 (VELVET DURAG : NAVY (DZ / 24DZ)),7.00,165.00,0.0%,23.57,73.50,10.50,91.50,55.46%
K2005 (VELVET DURAG : ROYAL (DZ / 24DZ)),22.00,510.00,0.0%,23.18,231.00,10.50,279.00,54.71%
K2006 (VELVET DURAG : SKY (DZ / 24DZ)),15.00,337.50,0.0%,22.50,157.50,10.50,180.00,53.33%
K2007 (VELVET DURAG : SLV (DZ / 24DZ)),6.00,135.00,0.0%,22.50,63.00,10.50,72.00,53.33%
K2008 (VELVET DURAG : YELLOW (DZ / 24DZ)),1.00,30.00,0.0%,30.00,10.50,10.50,19.50,65.0%
K2009 (VELVET DURAG : ORG (DZ / 24DZ)),6.00,135.00,0.0%,22.50,63.00,10.50,72.00,53.33%
K201 (SPANDEX VISOR DOME CAP : BLACK (DZ/24 DZ)),5.00,108.00,0.0%,21.60,41.00,8.20,67.00,62.04%
K2010 (VELVET DURAG : GRN (DZ / 24DZ)),7.00,165.00,0.0%,23.57,73.50,10.50,91.50,55.46%
K2011 (VELVET DURAG : PNK (DZ / 24DZ)),18.00,435.00,0.0%,24.17,189.00,10.50,246.00,56.55%
K2012 (VELVET DURAG : PURPLE (DZ / 24DZ)),18.00,442.50,0.0%,24.58,189.00,10.50,253.50,57.29%
K2013 (VELVET DURAG : GOLD (DZ / 24DZ)),2.00,52.50,0.0%,26.25,21.00,10.50,31.50,60.0%
K2014 (VELVET DOME CAP : ASST (DZ / 24DZ)),34.00,468.00,0.0%,13.76,217.60,6.40,250.40,53.5%
K2015 (VELVET DOME CAP : BK (DZ / 24DZ)),67.00,918.00,0.0%,13.70,428.80,6.40,489.20,53.29%
K2016 (METALLIC DURAG : ASST. (DZ/24DZ)),2.00,36.00,0.0%,18.00,15.00,7.50,21.00,58.33%
K2017 (METALLIC DURAG : WHITE (DZ/24DZ)),3.00,60.00,0.0%,20.00,22.50,7.50,37.50,62.5%
K2018 (METALLIC DURAG : ROYAL (DZ/24DZ)),5.00,102.00,0.0%,20.40,37.50,7.50,64.50,63.24%
K2019 (METALLIC DURAG : PURPLE (DZ/24DZ)),1.00,24.00,0.0%,24.00,7.50,7.50,16.50,68.75%
K202 (SPANDEX VISOR DOME CAP : WHITE (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K2020 (METALLIC DURAG : PINK (DZ/24DZ)),1.00,24.00,0.0%,24.00,7.50,7.50,16.50,68.75%
K2021 (METALLIC DURAG : SILVER (DZ/24DZ)),2.00,48.00,0.0%,24.00,15.00,7.50,33.00,68.75%
K2022 (METALLIC DURAG : GOLD (DZ/24DZ)),2.00,48.00,0.0%,24.00,15.00,7.50,33.00,68.75%
K2030 (WOLFING DU-STRAP : ASST (DZ/12DZ)),620.00,"14,140.00",0.0%,22.81,"6,076.00",9.80,"8,064.00",57.03%
K213 (SPANDEX VISOR DOME CAP : RG.ASST (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K230 (VISOR DU-RAG : ASSORT (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K231 (VISOR DU-RAG : BLACK (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K233 (VISOR DU-RAG : TWO/TONE ASSORT (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K400 (DELUXE DURAG : ASSORT (DZ/36 DZ)),25.00,228.00,0.0%,9.12,113.50,4.54,114.50,50.22%
K401 (DELUXE DURAG : BLACK (DZ/36 DZ)),82.00,753.00,0.0%,9.18,383.02,4.67,369.98,49.13%
K402 (DELUXE DURAG : WHITE (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K403 (SILKY DURAG : ASST (DZ/36 DZ)),217.00,"1,968.00",0.0%,9.07,849.62,3.92,"1,118.38",56.83%
K404 (SILKY DURAG : BK (DZ/36 DZ)),314.00,"2,865.00",0.0%,9.12,"1,223.57",3.90,"1,641.43",57.29%
K405 (SILKY DURAG : WHT (DZ/36DZ)),5.00,45.00,0.0%,9.00,19.55,3.91,25.45,56.56%
K406 (SILKY DURAG : RED (DZ/36DZ)),14.00,132.00,0.0%,9.43,54.13,3.87,77.87,58.99%
K407 (SILKY DURAG : NAVY (DZ/36DZ)),11.00,105.00,0.0%,9.55,43.05,3.91,61.95,59.0%
K408 (SILKY DURAG : ROYAL (DZ/36DZ)),8.00,75.00,0.0%,9.38,31.10,3.89,43.90,58.53%
K409 (SILKY DURAG : SKY (DZ/36DZ)),3.00,27.00,0.0%,9.00,11.58,3.86,15.42,57.11%
K410 (SILKY DURAG : SILVER (DZ/36DZ)),4.00,36.00,0.0%,9.00,15.55,3.89,20.45,56.81%
K411 (SILKY DURAG : YELLOW (DZ/36DZ)),6.00,54.00,0.0%,9.00,23.28,3.88,30.72,56.89%
K412 (SILKY DURAG : ORANGE (DZ/36DZ)),4.00,39.00,0.0%,9.75,15.59,3.90,23.41,60.03%
K413 (SILKY DURAG : GREEN (DZ/36DZ)),3.00,27.00,0.0%,9.00,11.72,3.91,15.28,56.59%
K414 (SILKY DURAG : L/PINK (DZ/36DZ)),7.00,66.00,0.0%,9.43,27.07,3.87,38.93,58.99%
K415 (SILKY DURAG : PURPLE (DZ/36DZ)),6.00,57.00,0.0%,9.50,23.05,3.84,33.95,59.56%
K416 (SILKY DURAG : GOLD (DZ/36DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K417 (SILKY CAMO DURAG : ASST. (DZ/24DZ)),53.00,720.00,0.0%,13.58,238.50,4.50,481.50,66.88%
K418 (SILKY CAMO DURAG : GREEN (DZ/24DZ)),38.00,513.00,0.0%,13.50,171.00,4.50,342.00,66.67%
K419 (SILKY CAMO DURAG : BLUE (DZ/24DZ)),40.00,540.00,0.0%,13.50,180.00,4.50,360.00,66.67%
K420 (SILKY CAMO DURAG : PINK (DZ/24DZ)),58.00,783.00,0.0%,13.50,261.00,4.50,522.00,66.67%
K422 (MAN MAGIC-RAG : WHITE (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K600 (BONUS DURAG : ASSORT (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K601 (BONUS DURAG : BLACK (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K602 (BONUS DURAG : WHITE (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K603 (BONUS DURAG : RED (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K604 (BONUS DURAG : NAVY (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K700 (SPANDEX STRETCH CAP : ASSORTED (DZ/48 DZ)),25.00,179.00,0.0%,7.16,67.50,2.70,111.50,62.29%
K701 (SPANDEX STRETCH CAP : BLACK (DZ/48 DZ)),100.00,710.00,0.0%,7.10,263.84,2.64,446.16,62.84%
K702 (SPANDEX STRETCH CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K703 (SPAN DREADLOCKS CAP : ASSORT (DZ/24 DZ)),166.00,"2,803.50",0.0%,16.89,"1,137.05",6.85,"1,666.45",59.44%
K704 (SPAN DREADLOCKS CAP : BLACK (DZ/24 DZ)),439.00,"7,311.00",0.0%,16.65,"3,006.73",6.85,"4,304.27",58.87%
K705 (SPAN DREADLOCKS CAP (XL) : ASSORT (DZ/24 DZ)),124.00,"2,649.00",0.0%,21.36,"1,010.48",8.15,"1,638.52",61.85%
K706 (SPAN DREADLOCKS CAP (XL) : BLACK (DZ/24 DZ)),700.00,"14,865.00",0.0%,21.24,"5,704.52",8.15,"9,160.48",61.62%
K707 (SPAN DREADLOCKS BAND : ASSORT (DZ/24 DZ)),81.00,688.50,0.0%,8.50,297.92,3.68,390.58,56.73%
K708 (SPAN DREADLOCKS BAND : BLACK (DZ/24 DZ)),297.00,"2,535.00",0.0%,8.54,"1,091.39",3.67,"1,443.61",56.95%
K710 (DREADLOCKS TUBE : ASSORT (DZ/24 DZ)),81.00,"1,003.50",0.0%,12.39,514.35,6.35,489.15,48.74%
K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),245.00,"2,958.00",0.0%,12.07,"1,555.75",6.35,"1,402.25",47.41%
K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K722 (SPORT BAND SET (3PCS) : WHITE (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K723 (SPORT BAND SET (3PCS) : RED (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K724 (SPORT BAND SET (3PCS) : NAVY (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K731 (SPORT BAND SET (3PCS) : ORANGE (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K860 (OGN WAVE CAP : ASSORT (DZ/40 DZ)),39.00,166.00,0.0%,4.26,66.18,1.70,99.82,60.13%
K861 (OGN WAVE CAP : BLACK (DZ/40 DZ)),"1,749.00","7,012.00",0.0%,4.01,"3,034.80",1.74,"3,977.20",56.72%
K862 (OGN WAVE CAP : WHITE (DZ/40 DZ)),1.00,4.00,0.0%,4.00,0.00,0.00,4.00,100.0%
K863 (OGN KID WAVE CAP : ASSORT (DZ/40 DZ)),13.00,52.00,0.0%,4.00,0.00,0.00,52.00,100.0%
K864 (OGN KID WAVE CAP : BLACK (DZ/40 DZ)),7.00,30.00,0.0%,4.29,0.00,0.00,30.00,100.0%
K941 (JAMAICA HAT : BLACK (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K943 (JAMAICA HAT : RED (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K945 (JAMAICA HAT : BROWN (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K950 (JAMAICA HAT : AFRO (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K960 (VISOR JAMAICA HAT : ASSORT (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K961 (VISOR JAMAICA HAT : BLACK (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K965 (VISOR JAMAICA HAT :BROWN (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"K969 (LOC VISOR CAP, W : BK (DZ/12DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"K970 (LOC VISOR CAP, N : BK (DZ/12DZ))",-9.00,-312.00,0.0%,34.67,-163.08,18.12,-148.92,47.73%
K971 (VISOR JAMAICA HAT : WH.AFRO (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K980 (VISOR JAMAICA HAT (LONG) : ASSORT (DZ/12DZ)),-2.00,-90.00,0.0%,45.00,0.00,0.00,-90.00,100.0%
K981 (VISOR JAMAICA HAT (LONG) : BLACK (DZ/12DZ)),-5.00,-225.00,0.0%,45.00,0.00,0.00,-225.00,100.0%
K985 (VISOR JAMAICA HAT (LONG) :BROWN (DZ/12DZ)),-1.00,-45.00,0.0%,45.00,0.00,0.00,-45.00,100.0%
"K989 (LOC VISOR CAP, SUPER LONG : BK (DZ/12DZ))",13.00,492.00,0.0%,37.85,286.00,22.00,206.00,41.87%
K990 (LOC VISOR TUBE : BK (DZ/12DZ)),-11.00,-396.00,0.0%,36.00,-199.32,18.12,-196.68,49.67%
MASK (MASK : L/BLUE (PC/2400PCS)),"179,750.00","109,391.00",0.0%,0.61,"71,900.00",0.40,"37,491.00",34.27%
MASK-KN95 (MASK : KN95 (PC/1000PCS)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q054 (KID SLEEP CAP : ASSORT (DZ/48 DZ)),75.00,582.50,0.0%,7.77,209.00,2.79,373.50,64.12%
Q055 (KID SLEEP CAP : BLACK (DZ/48 DZ)),72.00,557.50,0.0%,7.74,200.22,2.78,357.28,64.09%
Q100 (STOCKING WIG-CAP (2 PC) : BLACK (DZ/60 DZ)),"5,720.00","17,413.50",0.0%,3.04,"8,742.39",1.53,"8,671.11",49.8%
Q101 (STOCKING WIG-CAP (2 PC) : BROWN (DZ/60 DZ)),"1,424.00","4,282.50",0.0%,3.01,"2,182.05",1.53,"2,100.45",49.05%
Q102 (STOCKING WIG-CAP (2 PC) : LT. BROWN (DZ/60 DZ)),"1,517.00","4,687.50",0.0%,3.09,"2,312.95",1.52,"2,374.55",50.66%
Q103 (STOCKING WIG-CAP (100 PC) : BLACK (PK/24PK)),16.00,160.00,0.0%,10.00,78.40,4.90,81.60,51.0%
Q104 (STOCKING WIG-CAP (2 PC) : BEIGE (NTR) (DZ/60 DZ)),"3,330.00","10,354.50",0.0%,3.11,"5,066.73",1.52,"5,287.77",51.07%
Q105 (STOCKING WIG-CAP (200 PC) : BLACK (PK/24PK)),84.00,"1,614.00",0.0%,19.21,822.96,9.80,791.04,49.01%
Q106 (STOCKING WIG-CAP (400 PC) : BLACK (PK/16PK)),64.00,"2,459.00",0.0%,38.42,"1,223.32",19.11,"1,235.68",50.25%
Q107 (STOCKING WIG-CAP (400 PC) : BEIGE(NTR) (PK/16PK)),18.00,692.00,0.0%,38.44,342.00,19.00,350.00,50.58%
Q108 (BRAID CYLINDER : BLACK (DZ/48 DZ)),82.00,373.50,0.0%,4.55,147.49,1.80,226.01,60.51%
Q109 (BRAID CYLINDER : BROWN (DZ/48 DZ)),4.00,18.00,0.0%,4.50,7.20,1.80,10.80,60.0%
Q110 (MESH-WRAP (LG) : ASSORTED (DZ/48 DZ)),85.00,514.00,0.0%,6.05,250.60,2.95,263.40,51.25%
Q111 (MESH-WRAP (LG) : BLACK (DZ/48 DZ)),204.00,"1,244.00",0.0%,6.10,593.85,2.91,650.15,52.26%
Q114 (UNDA CAP (3 PC) : WHITE (DZ/60 DZ)),6.00,18.00,0.0%,3.00,0.00,0.00,18.00,100.0%
Q115 (UNDA CAP (3 PC) : PINK (DZ/60 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q116 (UNDA CAP (3 PC) : BLUE (DZ/60 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q117 (UNDA CAP (100 PC) : WHITE (BOX/24 BOX)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q118 (UNDA CAP (100 PC) : PINK (BOX/24 BOX)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q119 (UNDA CAP (100 PC) : BLUE (BOX/24 BOX)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q120 (SUPER JUMBO SLEEP-CAP : ASSORT (DZ/24 DZ)),44.00,513.00,0.0%,11.66,200.26,4.55,312.74,60.96%
Q121 (SUPER JUMBO SLEEP-CAP : BLACK (DZ/24 DZ)),41.00,489.00,0.0%,11.93,187.32,4.57,301.68,61.69%
Q122 (SUPER JUMBO BONNET : ASSORT (DZ/24 DZ)),40.00,481.00,0.0%,12.03,182.00,4.55,299.00,62.16%
Q123 (SUPER JUMBO BONNET : BLACK (DZ/24 DZ)),51.00,586.50,0.0%,11.50,235.49,4.62,351.01,59.85%
Q124 (DRAWSTRING SLEEP CAP : ASSORT (DZ/48DZ)),24.00,219.00,0.0%,9.13,89.18,3.72,129.82,59.28%
Q125 (DRAWSTRING SLEEP CAP : BLACK (DZ/48DZ)),117.00,"1,059.00",0.0%,9.05,437.94,3.74,621.06,58.65%
Q126 (XL STOCKING WIG-CAP (2PCS) : BK (DZ/60 DZ)),469.00,"1,653.50",0.0%,3.53,766.75,1.63,886.75,53.63%
Q127 (XL STOCKING WIG CAP(200PCS) : BK (PK/24PK)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q129 (MAGIC-SCARF : ASSORT (DZ/16 DZ)),2.00,81.00,0.0%,40.50,18.06,9.03,62.94,77.7%
Q130 (MAGIC-SCARF : BLACK (DZ/16 DZ)),135.00,"2,514.00",0.0%,18.62,"1,219.04",9.03,"1,294.96",51.51%
Q131 (MAGIC-SCARF : WHITE (DZ/16 DZ)),1.00,24.00,0.0%,24.00,9.00,9.00,15.00,62.5%
Q140 (LADY DURAG : ASSORTED (DZ/20 DZ)),58.00,718.50,0.0%,12.39,350.18,6.04,368.32,51.26%
Q141 (LADY DURAG : BLACK (DZ/20 DZ)),37.00,453.00,0.0%,12.24,222.80,6.02,230.20,50.82%
Q142 (STOCKING WIG-CAP (2 PC) : D/BRW (DZ/60 DZ)),280.00,871.50,0.0%,3.11,417.20,1.49,454.30,52.13%
Q143 (STOCKING WIG-CAP (2 PC) : AUBURN (DZ/60 DZ)),"5,009.00","15,222.00",0.0%,3.04,"7,666.31",1.53,"7,555.69",49.64%
Q144 (STOCKING WIG-CAP (2 PC) : CREAM (BLD) (DZ/60 DZ)),229.00,696.00,0.0%,3.04,341.21,1.49,354.79,50.98%
Q150 (SATIN SLEEP-CAP(LG) : ASSORTED (DZ/36 DZ)),220.00,"1,880.00",0.0%,8.55,673.71,3.06,"1,206.29",64.16%
Q151 (SATIN SLEEP-CAP(LG) : BLACK (DZ/36 DZ)),472.00,"4,039.50",0.0%,8.56,"1,456.56",3.09,"2,582.94",63.94%
Q152 (SATIN SLEEP-CAP(XL) : ASSORTED (DZ/36 DZ)),104.00,951.00,0.0%,9.14,358.75,3.45,592.25,62.28%
Q153 (SATIN SLEEP-CAP(XL) : BLACK (DZ/36 DZ)),161.00,"1,458.00",0.0%,9.06,576.94,3.58,881.06,60.43%
Q154 (SATIN SLEEP-CAP(FL) : ASSORTED (DZ/36 DZ)),116.00,"1,071.00",0.0%,9.23,426.09,3.67,644.91,60.22%
Q156 (SATIN BONNET (LG) : ASSORTED (DZ/36 DZ)),132.00,"1,147.00",0.0%,8.69,409.38,3.10,737.62,64.31%
