Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
K061 (STOCKING WAVE-CAP (2 PC) : BLACK (DZ/60 DZ)),"1,413.00","4,983.00",0.0%,3.53,"2,472.93",1.75,"2,510.07",50.37%
K062 (STOCKING WAVE-CAP (2 PC) : WHITE (DZ/60 DZ)),13.00,45.50,0.0%,3.50,22.75,1.75,22.75,50.0%
K063 (STOCKING WAVE-CAP (2 PC) : RED (DZ/60 DZ)),70.00,245.00,0.0%,3.50,122.50,1.75,122.50,50.0%
K064 (STOCKING WAVE-CAP (2 PC) : NAVY (DZ/60 DZ)),72.00,252.00,0.0%,3.50,126.00,1.75,126.00,50.0%
K065 (STOCKING WAVE-CAP (2 PC) : ROYAL (DZ/60 DZ)),30.00,105.00,0.0%,3.50,52.50,1.75,52.50,50.0%
K066 (STOCKING WAVE-CAP (2 PC) : SKY BL (DZ/60 DZ)),39.00,136.50,0.0%,3.50,68.25,1.75,68.25,50.0%
K067 (STOCKING WAVE-CAP (2 PC) : GRAY (DZ/60 DZ)),60.00,210.00,0.0%,3.50,104.62,1.74,105.38,50.18%
K068 (STOCKING WAVE-CAP (2 PC) : BROWN (DZ/60 DZ)),8.00,28.00,0.0%,3.50,13.98,1.75,14.02,50.07%
K070 (SPANDEX DOME-CAP : ASSORTED (DZ/48 DZ)),120.00,"1,098.00",0.0%,9.15,468.00,3.90,630.00,57.38%
K071 (SPANDEX DOME-CAP : BLACK (DZ/48 DZ)),471.00,"4,287.00",0.0%,9.10,"1,862.06",3.95,"2,424.94",56.57%
K072 (SPANDEX DOME-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K075 (SPANDEX SKULL-CAP : ASSORTED (DZ/48 DZ)),37.00,314.50,0.0%,8.50,118.96,3.22,195.54,62.18%
K076 (SPANDEX SKULL-CAP : BLACK (DZ/48 DZ)),153.00,"1,308.00",0.0%,8.55,485.00,3.17,823.00,62.92%
K077 (SPANDEX SKULL-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K080 (TIE-DOWN WAVE-CAP : ASSORT (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K081 (TIE-DOWN WAVE-CAP : BLACK (DZ/48 DZ)),25.00,89.00,0.0%,3.56,0.00,0.00,89.00,100.0%
K082 (TIE-DOWN WAVE-CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K083 (DREADLOCK WAVE CAP : ASSORT (DZ/40DZ)),232.00,"2,013.00",0.0%,8.68,780.83,3.37,"1,232.17",61.21%
K084 (DREADLOCK WAVE CAP : BLACK (DZ/40DZ)),736.00,"6,324.00",0.0%,8.59,"2,502.78",3.40,"3,821.22",60.42%
K085 (DREADLOCK WAVE CAP (JUMBO) : ASSORT (DZ/24DZ)),212.00,"2,348.00",0.0%,11.08,989.80,4.67,"1,358.20",57.85%
K086 (DREADLOCK WAVE CAP (JUMBO) : BLACK (DZ/24DZ)),580.00,"6,424.00",0.0%,11.08,"2,703.23",4.66,"3,720.77",57.92%
K090 (PLAY MAKER DU-RAG : ASSORTED (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K091 (PLAY MAKER DU-RAG : BLACK (DZ/48 DZ)),6.00,27.00,0.0%,4.50,0.00,0.00,27.00,100.0%
K092 (PLAY MAKER DU-RAG : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K096 (PLAY MAKER DU-RAG(TWO) : ASSORT (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K2000 (VELVET DURAG : ASST (DZ / 24DZ)),379.00,"8,542.50",0.0%,22.54,"3,979.50",10.50,"4,563.00",53.42%
K2001 (VELVET DURAG : BK (DZ / 24DZ)),422.00,"9,520.00",0.0%,22.56,"4,431.00",10.50,"5,089.00",53.46%
K2002 (VELVET DURAG : WHT (DZ / 24DZ)),14.00,315.00,0.0%,22.50,147.00,10.50,168.00,53.33%
K2003 (VELVET DURAG : RED (DZ / 24DZ)),65.00,"1,477.50",0.0%,22.73,682.50,10.50,795.00,53.81%
K2004 (VELVET DURAG : NAVY (DZ / 24DZ)),20.00,457.50,0.0%,22.88,210.00,10.50,247.50,54.1%
K2005 (VELVET DURAG : ROYAL (DZ / 24DZ)),20.00,465.00,0.0%,23.25,210.00,10.50,255.00,54.84%
K2006 (VELVET DURAG : SKY (DZ / 24DZ)),13.00,300.00,0.0%,23.08,136.50,10.50,163.50,54.5%
K2007 (VELVET DURAG : SLV (DZ / 24DZ)),10.00,232.50,0.0%,23.25,105.00,10.50,127.50,54.84%
K2008 (VELVET DURAG : YELLOW (DZ / 24DZ)),10.00,225.00,0.0%,22.50,105.00,10.50,120.00,53.33%
K2009 (VELVET DURAG : ORG (DZ / 24DZ)),5.00,112.50,0.0%,22.50,52.50,10.50,60.00,53.33%
K201 (SPANDEX VISOR DOME CAP : BLACK (DZ/24 DZ)),12.00,216.00,0.0%,18.00,98.39,8.20,117.61,54.45%
K2010 (VELVET DURAG : GRN (DZ / 24DZ)),12.00,270.00,0.0%,22.50,126.00,10.50,144.00,53.33%
K2011 (VELVET DURAG : PNK (DZ / 24DZ)),18.00,412.50,0.0%,22.92,189.00,10.50,223.50,54.18%
K2012 (VELVET DURAG : PURPLE (DZ / 24DZ)),36.00,810.00,0.0%,22.50,378.00,10.50,432.00,53.33%
K2013 (VELVET DURAG : GOLD (DZ / 24DZ)),11.00,255.00,0.0%,23.18,115.50,10.50,139.50,54.71%
K2014 (VELVET DOME CAP : ASST (DZ / 24DZ)),71.00,958.50,0.0%,13.50,454.40,6.40,504.10,52.59%
K2015 (VELVET DOME CAP : BK (DZ / 24DZ)),72.00,976.50,0.0%,13.56,460.80,6.40,515.70,52.81%
K2016 (METALLIC DURAG : ASST. (DZ/24DZ)),22.00,402.00,0.0%,18.27,165.00,7.50,237.00,58.96%
K2017 (METALLIC DURAG : WHITE (DZ/24DZ)),5.00,96.00,0.0%,19.20,37.50,7.50,58.50,60.94%
K2018 (METALLIC DURAG : ROYAL (DZ/24DZ)),1.00,24.00,0.0%,24.00,7.50,7.50,16.50,68.75%
K2019 (METALLIC DURAG : PURPLE (DZ/24DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K202 (SPANDEX VISOR DOME CAP : WHITE (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K2020 (METALLIC DURAG : PINK (DZ/24DZ)),8.00,150.00,0.0%,18.75,60.00,7.50,90.00,60.0%
K2021 (METALLIC DURAG : SILVER (DZ/24DZ)),4.00,78.00,0.0%,19.50,30.00,7.50,48.00,61.54%
K2022 (METALLIC DURAG : GOLD (DZ/24DZ)),4.00,78.00,0.0%,19.50,30.00,7.50,48.00,61.54%
K2030 (WOLFING DU-STRAP : ASST (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K213 (SPANDEX VISOR DOME CAP : RG.ASST (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K230 (VISOR DU-RAG : ASSORT (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K231 (VISOR DU-RAG : BLACK (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K233 (VISOR DU-RAG : TWO/TONE ASSORT (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K400 (DELUXE DURAG : ASSORT (DZ/36 DZ)),108.00,981.00,0.0%,9.08,490.27,4.54,490.73,50.02%
K401 (DELUXE DURAG : BLACK (DZ/36 DZ)),133.00,"1,227.00",0.0%,9.23,621.24,4.67,605.76,49.37%
K402 (DELUXE DURAG : WHITE (DZ/36 DZ)),2.00,24.00,0.0%,12.00,0.00,0.00,24.00,100.0%
K403 (SILKY DURAG : ASST (DZ/36 DZ)),234.00,"2,118.00",0.0%,9.05,916.17,3.92,"1,201.83",56.74%
K404 (SILKY DURAG : BK (DZ/36 DZ)),566.00,"5,112.00",0.0%,9.03,"2,205.57",3.90,"2,906.43",56.86%
K405 (SILKY DURAG : WHT (DZ/36DZ)),75.00,684.00,0.0%,9.12,293.37,3.91,390.63,57.11%
K406 (SILKY DURAG : RED (DZ/36DZ)),2.00,24.00,0.0%,12.00,7.74,3.87,16.26,67.75%
K407 (SILKY DURAG : NAVY (DZ/36DZ)),1.00,12.00,0.0%,12.00,3.91,3.91,8.09,67.42%
K408 (SILKY DURAG : ROYAL (DZ/36DZ)),2.00,24.00,0.0%,12.00,7.78,3.89,16.22,67.58%
K409 (SILKY DURAG : SKY (DZ/36DZ)),37.00,336.00,0.0%,9.08,142.87,3.86,193.13,57.48%
K410 (SILKY DURAG : SILVER (DZ/36DZ)),37.00,336.00,0.0%,9.08,143.86,3.89,192.14,57.19%
K411 (SILKY DURAG : YELLOW (DZ/36DZ)),1.00,12.00,0.0%,12.00,3.88,3.88,8.12,67.67%
K412 (SILKY DURAG : ORANGE (DZ/36DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K413 (SILKY DURAG : GREEN (DZ/36DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K414 (SILKY DURAG : L/PINK (DZ/36DZ)),40.00,372.00,0.0%,9.30,154.69,3.87,217.31,58.42%
K415 (SILKY DURAG : PURPLE (DZ/36DZ)),1.00,12.00,0.0%,12.00,3.84,3.84,8.16,68.0%
K416 (SILKY DURAG : GOLD (DZ/36DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K417 (SILKY CAMO DURAG : ASST. (DZ/24DZ)),103.00,"1,390.50",0.0%,13.50,463.50,4.50,927.00,66.67%
K418 (SILKY CAMO DURAG : GREEN (DZ/24DZ)),38.00,513.00,0.0%,13.50,171.00,4.50,342.00,66.67%
K419 (SILKY CAMO DURAG : BLUE (DZ/24DZ)),36.00,486.00,0.0%,13.50,162.00,4.50,324.00,66.67%
K420 (SILKY CAMO DURAG : PINK (DZ/24DZ)),11.00,148.50,0.0%,13.50,49.50,4.50,99.00,66.67%
K422 (MAN MAGIC-RAG : WHITE (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K600 (BONUS DURAG : ASSORT (DZ/36 DZ)),6.00,24.00,0.0%,4.00,0.00,0.00,24.00,100.0%
K601 (BONUS DURAG : BLACK (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K602 (BONUS DURAG : WHITE (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K603 (BONUS DURAG : RED (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K604 (BONUS DURAG : NAVY (DZ/36 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K700 (SPANDEX STRETCH CAP : ASSORTED (DZ/48 DZ)),70.00,496.00,0.0%,7.09,189.00,2.70,307.00,61.9%
K701 (SPANDEX STRETCH CAP : BLACK (DZ/48 DZ)),238.00,"1,672.00",0.0%,7.03,627.93,2.64,"1,044.07",62.44%
K702 (SPANDEX STRETCH CAP : WHITE (DZ/48 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K703 (SPAN DREADLOCKS CAP : ASSORT (DZ/24 DZ)),212.00,"3,562.50",0.0%,16.80,"1,452.12",6.85,"2,110.38",59.24%
K704 (SPAN DREADLOCKS CAP : BLACK (DZ/24 DZ)),692.00,"11,493.00",0.0%,16.61,"4,739.53",6.85,"6,753.47",58.76%
K705 (SPAN DREADLOCKS CAP (XL) : ASSORT (DZ/24 DZ)),306.00,"6,471.00",0.0%,21.15,"2,493.62",8.15,"3,977.38",61.47%
K706 (SPAN DREADLOCKS CAP (XL) : BLACK (DZ/24 DZ)),796.00,"16,851.00",0.0%,21.17,"6,486.88",8.15,"10,364.12",61.5%
K707 (SPAN DREADLOCKS BAND : ASSORT (DZ/24 DZ)),162.00,"1,398.00",0.0%,8.63,595.81,3.68,802.19,57.38%
K708 (SPAN DREADLOCKS BAND : BLACK (DZ/24 DZ)),462.00,"3,969.00",0.0%,8.59,"1,697.68",3.67,"2,271.32",57.23%
K710 (DREADLOCKS TUBE : ASSORT (DZ/24 DZ)),155.00,"1,882.50",0.0%,12.15,984.25,6.35,898.25,47.72%
K711 (DREADLOCKS TUBE : BLACK (DZ/24 DZ)),506.00,"6,126.00",0.0%,12.11,"3,213.10",6.35,"2,912.90",47.55%
K720 (SPORT BAND SET (3PCS) : ASSORT (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K721 (SPORT BAND SET (3PCS) : BLACK (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K722 (SPORT BAND SET (3PCS) : WHITE (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K723 (SPORT BAND SET (3PCS) : RED (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K724 (SPORT BAND SET (3PCS) : NAVY (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K731 (SPORT BAND SET (3PCS) : ORANGE (DZ/24 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K860 (OGN WAVE CAP : ASSORT (DZ/40 DZ)),51.00,204.00,0.0%,4.00,86.53,1.70,117.47,57.58%
K861 (OGN WAVE CAP : BLACK (DZ/40 DZ)),329.00,"1,318.00",0.0%,4.01,570.87,1.74,747.13,56.69%
K862 (OGN WAVE CAP : WHITE (DZ/40 DZ)),3.00,12.00,0.0%,4.00,0.00,0.00,12.00,100.0%
K863 (OGN KID WAVE CAP : ASSORT (DZ/40 DZ)),3.00,14.00,0.0%,4.67,0.00,0.00,14.00,100.0%
K864 (OGN KID WAVE CAP : BLACK (DZ/40 DZ)),14.00,58.00,0.0%,4.14,0.00,0.00,58.00,100.0%
K941 (JAMAICA HAT : BLACK (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K943 (JAMAICA HAT : RED (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K945 (JAMAICA HAT : BROWN (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K950 (JAMAICA HAT : AFRO (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K960 (VISOR JAMAICA HAT : ASSORT (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K961 (VISOR JAMAICA HAT : BLACK (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K965 (VISOR JAMAICA HAT :BROWN (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"K969 (LOC VISOR CAP, W : BK (DZ/12DZ))",2.00,96.00,0.0%,48.00,36.24,18.12,59.76,62.25%
"K970 (LOC VISOR CAP, N : BK (DZ/12DZ))",-9.00,-312.00,0.0%,34.67,-163.08,18.12,-148.92,47.73%
K971 (VISOR JAMAICA HAT : WH.AFRO (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K980 (VISOR JAMAICA HAT (LONG) : ASSORT (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K981 (VISOR JAMAICA HAT (LONG) : BLACK (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K985 (VISOR JAMAICA HAT (LONG) :BROWN (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"K989 (LOC VISOR CAP, SUPER LONG : BK (DZ/12DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K990 (LOC VISOR TUBE : BK (DZ/12DZ)),-7.00,-240.00,0.0%,34.29,-126.84,18.12,-113.16,47.15%
MASK (MASK : L/BLUE (PC/2400PCS)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
MASK-KN95 (MASK : KN95 (PC/1000PCS)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q054 (KID SLEEP CAP : ASSORT (DZ/48 DZ)),325.00,"2,455.00",0.0%,7.55,905.22,2.79,"1,549.78",63.13%
Q055 (KID SLEEP CAP : BLACK (DZ/48 DZ)),379.00,"2,855.00",0.0%,7.53,"1,052.78",2.78,"1,802.22",63.13%
Q100 (STOCKING WIG-CAP (2 PC) : BLACK (DZ/60 DZ)),"5,889.00","17,910.00",0.0%,3.04,"8,992.15",1.53,"8,917.85",49.79%
Q101 (STOCKING WIG-CAP (2 PC) : BROWN (DZ/60 DZ)),"1,813.00","5,476.50",0.0%,3.02,"2,778.09",1.53,"2,698.41",49.27%
Q102 (STOCKING WIG-CAP (2 PC) : LT. BROWN (DZ/60 DZ)),"2,708.00","8,176.50",0.0%,3.02,"4,128.86",1.52,"4,047.64",49.5%
Q103 (STOCKING WIG-CAP (100 PC) : BLACK (PK/24PK)),27.00,270.00,0.0%,10.00,132.30,4.90,137.70,51.0%
Q104 (STOCKING WIG-CAP (2 PC) : BEIGE (NTR) (DZ/60 DZ)),"4,406.00","13,297.50",0.0%,3.02,"6,703.93",1.52,"6,593.57",49.59%
Q105 (STOCKING WIG-CAP (200 PC) : BLACK (PK/24PK)),125.00,"2,407.00",0.0%,19.26,"1,224.65",9.80,"1,182.35",49.12%
Q106 (STOCKING WIG-CAP (400 PC) : BLACK (PK/16PK)),90.00,"3,460.00",0.0%,38.44,"1,720.30",19.11,"1,739.70",50.28%
Q107 (STOCKING WIG-CAP (400 PC) : BEIGE(NTR) (PK/16PK)),119.00,"4,481.00",0.0%,37.66,"2,261.00",19.00,"2,220.00",49.54%
Q108 (BRAID CYLINDER : BLACK (DZ/48 DZ)),214.00,963.00,0.0%,4.50,384.92,1.80,578.08,60.03%
Q109 (BRAID CYLINDER : BROWN (DZ/48 DZ)),6.00,27.00,0.0%,4.50,10.80,1.80,16.20,60.0%
Q110 (MESH-WRAP (LG) : ASSORTED (DZ/48 DZ)),109.00,658.00,0.0%,6.04,315.18,2.89,342.82,52.1%
Q111 (MESH-WRAP (LG) : BLACK (DZ/48 DZ)),406.00,"2,452.00",0.0%,6.04,"1,181.88",2.91,"1,270.12",51.8%
Q114 (UNDA CAP (3 PC) : WHITE (DZ/60 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q115 (UNDA CAP (3 PC) : PINK (DZ/60 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q116 (UNDA CAP (3 PC) : BLUE (DZ/60 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q117 (UNDA CAP (100 PC) : WHITE (BOX/24 BOX)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q118 (UNDA CAP (100 PC) : PINK (BOX/24 BOX)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q119 (UNDA CAP (100 PC) : BLUE (BOX/24 BOX)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q120 (SUPER JUMBO SLEEP-CAP : ASSORT (DZ/24 DZ)),138.00,"1,604.50",0.0%,11.63,628.55,4.55,975.95,60.83%
Q121 (SUPER JUMBO SLEEP-CAP : BLACK (DZ/24 DZ)),142.00,"1,654.00",0.0%,11.65,666.29,4.69,987.71,59.72%
Q122 (SUPER JUMBO BONNET : ASSORT (DZ/24 DZ)),91.00,"1,050.00",0.0%,11.54,414.05,4.55,635.95,60.57%
Q123 (SUPER JUMBO BONNET : BLACK (DZ/24 DZ)),69.00,797.00,0.0%,11.55,321.52,4.66,475.48,59.66%
Q124 (DRAWSTRING SLEEP CAP : ASSORT (DZ/48DZ)),213.00,"1,932.00",0.0%,9.07,791.88,3.72,"1,140.12",59.01%
Q125 (DRAWSTRING SLEEP CAP : BLACK (DZ/48DZ)),255.00,"2,310.00",0.0%,9.06,959.64,3.76,"1,350.36",58.46%
Q126 (XL STOCKING WIG-CAP (2PCS) : BK (DZ/60 DZ)),"1,245.00","4,374.50",0.0%,3.51,"2,035.41",1.63,"2,339.09",53.47%
Q127 (XL STOCKING WIG CAP(200PCS) : BK (PK/24PK)),3.00,75.00,0.0%,25.00,0.00,0.00,75.00,100.0%
Q129 (MAGIC-SCARF : ASSORT (DZ/16 DZ)),53.00,978.00,0.0%,18.45,478.66,9.03,499.34,51.06%
Q130 (MAGIC-SCARF : BLACK (DZ/16 DZ)),213.00,"3,858.00",0.0%,18.11,"1,923.38",9.03,"1,934.62",50.15%
Q131 (MAGIC-SCARF : WHITE (DZ/16 DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q140 (LADY DURAG : ASSORTED (DZ/20 DZ)),15.00,180.00,0.0%,12.00,90.56,6.04,89.44,49.69%
Q141 (LADY DURAG : BLACK (DZ/20 DZ)),79.00,952.50,0.0%,12.06,475.73,6.02,476.77,50.06%
Q142 (STOCKING WIG-CAP (2 PC) : D/BRW (DZ/60 DZ)),471.00,"1,425.00",0.0%,3.03,701.79,1.49,723.21,50.75%
Q143 (STOCKING WIG-CAP (2 PC) : AUBURN (DZ/60 DZ)),"3,787.00","11,412.00",0.0%,3.01,"5,796.01",1.53,"5,615.99",49.21%
Q144 (STOCKING WIG-CAP (2 PC) : CREAM (BLD) (DZ/60 DZ)),108.00,324.00,0.0%,3.00,160.92,1.49,163.08,50.33%
Q150 (SATIN SLEEP-CAP(LG) : ASSORTED (DZ/36 DZ)),321.00,"2,746.00",0.0%,8.55,979.60,3.05,"1,766.40",64.33%
Q151 (SATIN SLEEP-CAP(LG) : BLACK (DZ/36 DZ)),821.00,"7,033.50",0.0%,8.57,"2,531.77",3.08,"4,501.73",64.0%
Q152 (SATIN SLEEP-CAP(XL) : ASSORTED (DZ/36 DZ)),177.00,"1,608.00",0.0%,9.08,611.48,3.45,996.52,61.97%
Q153 (SATIN SLEEP-CAP(XL) : BLACK (DZ/36 DZ)),310.00,"2,817.00",0.0%,9.09,"1,149.92",3.71,"1,667.08",59.18%
Q154 (SATIN SLEEP-CAP(FL) : ASSORTED (DZ/36 DZ)),327.00,"2,949.00",0.0%,9.02,"1,217.83",3.72,"1,731.17",58.7%
