Inventory,Qty,Amount,% of Sales,Avg Price,COGS,Avg COGS,Gross Margin,Gross Margin %
K864 (OGN KID WAVE CAP : BLACK (DZ/40 DZ)),13.00,52.00,0.0%,4.00,0.00,0.00,52.00,100.0%
K941 (JAMAICA HAT : BLACK (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K943 (JAMAICA HAT : RED (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K945 (JAMAICA HAT : BROWN (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K950 (JAMAICA HAT : AFRO (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K960 (VISOR JAMAICA HAT : ASSORT (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K961 (VISOR JAMAICA HAT : BLACK (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K965 (VISOR JAMAICA HAT :BROWN (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"K969 (LOC VISOR CAP, W : BK (DZ/12DZ))",12.00,432.00,0.0%,36.00,217.44,18.12,214.56,49.67%
"K970 (LOC VISOR CAP, N : BK (DZ/12DZ))",99.00,"3,636.00",0.0%,36.73,"1,793.88",18.12,"1,842.12",50.66%
K971 (VISOR JAMAICA HAT : WH.AFRO (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K980 (VISOR JAMAICA HAT (LONG) : ASSORT (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K981 (VISOR JAMAICA HAT (LONG) : BLACK (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K985 (VISOR JAMAICA HAT (LONG) :BROWN (DZ/12DZ)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
"K989 (LOC VISOR CAP, SUPER LONG : BK (DZ/12DZ))",0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
K990 (LOC VISOR TUBE : BK (DZ/12DZ)),88.00,"3,240.00",0.0%,36.82,"1,594.56",18.12,"1,645.44",50.79%
MASK (MASK : L/BLUE (PC/2400PCS)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
MASK-KN95 (MASK : KN95 (PC/1000PCS)),0.00,0.00,0.0%,0.00,0.00,0.00,0.00,0.0%
Q054 (KID SLEEP CAP : ASSORT (DZ/48 DZ)),220.00,"1,667.50",0.0%,7.58,612.45,2.78,"1,055.05",63.27%
Q055 (KID SLEEP CAP : BLACK (DZ/48 DZ)),240.00,"1,815.00",0.0%,7.56,666.06,2.78,"1,148.94",63.3%
Q100 (STOCKING WIG-CAP (2 PC) : BLACK (DZ/60 DZ)),"1,900.00","5,814.00",0.0%,3.06,"2,900.83",1.53,"2,913.17",50.11%
Q101 (STOCKING WIG-CAP (2 PC) : BROWN (DZ/60 DZ)),632.00,"1,959.00",0.0%,3.10,966.52,1.53,992.48,50.66%
Q102 (STOCKING WIG-CAP (2 PC) : LT. BROWN (DZ/60 DZ)),780.00,"2,371.50",0.0%,3.04,"1,188.48",1.52,"1,183.02",49.89%
Q103 (STOCKING WIG-CAP (100 PC) : BLACK (PK/24PK)),22.00,220.00,0.0%,10.00,107.80,4.90,112.20,51.0%
Q104 (STOCKING WIG-CAP (2 PC) : BEIGE (NTR) (DZ/60 DZ)),"2,397.00","7,309.50",0.0%,3.05,"3,645.30",1.52,"3,664.20",50.13%
